user_id,date_listened,sessions,minutes_listened,songs_streamed,playlists_created
user_1,2025-11-01,3,21.5,6,0
user_1,2025-11-02,0,31.9,9,0
user_1,2025-11-03,2,28.7,8,0
user_1,2025-11-04,0,32.5,6,0
user_1,2025-11-05,0,29.7,7,0
user_1,2025-11-06,1,25.5,4,0
user_1,2025-11-07,1,39,8,0
user_1,2025-11-08,1,38.5,6,0
user_1,2025-11-09,0,34.1,6,0
user_1,2025-11-10,1,33.8,5,0
user_1,2025-11-11,1,35.4,3,0
user_1,2025-11-12,2,29.1,4,0
user_1,2025-11-13,1,31.2,6,0
user_1,2025-11-14,0,22,4,1
user_1,2025-11-15,2,29.2,4,0
user_1,2025-11-16,0,23.6,6,0
user_1,2025-11-17,1,23.9,5,0
user_1,2025-11-18,0,23,5,0
user_1,2025-11-19,1,28.6,5,0
user_1,2025-11-20,1,24.7,6,0
user_1,2025-11-21,1,29.5,3,0
user_1,2025-11-22,1,26.1,6,0
user_1,2025-11-23,0,17.5,2,1
user_1,2025-11-24,1,21.7,5,0
user_1,2025-11-25,0,20.6,5,1
user_1,2025-11-26,0,26.9,3,0
user_1,2025-11-27,1,16.5,6,0
user_1,2025-11-28,0,13.9,4,0
user_1,2025-11-29,0,20.5,3,0
user_1,2025-11-30,0,27.9,6,0
user_1,2025-12-01,1,17.9,4,0
user_1,2025-12-02,1,19.5,4,0
user_1,2025-12-03,0,19.6,5,0
user_1,2025-12-04,2,6.2,3,1
user_1,2025-12-05,1,17.3,6,0
user_1,2025-12-06,0,22.2,3,0
user_1,2025-12-07,1,7.6,4,0
user_1,2025-12-08,1,15.1,3,0
user_1,2025-12-09,1,13.3,2,0
user_1,2025-12-10,1,15.9,4,0
user_1,2025-12-11,1,10.7,5,0
user_1,2025-12-12,0,14.8,1,0
user_1,2025-12-13,0,14.2,5,0
user_1,2025-12-14,0,19.1,2,0
user_1,2025-12-15,0,17.8,3,1
user_1,2025-12-16,0,5.4,2,1
user_1,2025-12-17,0,5.6,4,0
user_1,2025-12-18,0,9.6,3,0
user_1,2025-12-19,0,4.7,3,0
user_1,2025-12-20,0,12.2,3,0
user_1,2025-12-21,1,13,4,0
user_1,2025-12-22,0,21.8,1,0
user_1,2025-12-23,1,22.2,7,0
user_1,2025-12-24,0,24.6,2,0
user_1,2025-12-25,0,12.5,6,1
user_1,2025-12-26,0,18,1,0
user_1,2025-12-27,0,7,0,0
user_1,2025-12-28,0,12.8,5,0
user_1,2025-12-29,1,11,0,0
user_1,2025-12-30,0,11.4,6,0
user_2,2025-11-01,3,35.3,7,0
user_2,2025-11-02,1,28.9,5,0
user_2,2025-11-03,1,25.1,4,0
user_2,2025-11-04,2,38,7,0
user_2,2025-11-05,1,27,5,0
user_2,2025-11-06,0,17,6,0
user_2,2025-11-07,0,26.2,6,0
user_2,2025-11-08,2,31.8,8,0
user_2,2025-11-09,0,23.2,6,0
user_2,2025-11-10,1,24.3,8,0
user_2,2025-11-11,0,21.7,3,0
user_2,2025-11-12,1,19.1,4,0
user_2,2025-11-13,0,18.7,6,0
user_2,2025-11-14,0,19.9,6,0
user_2,2025-11-15,0,22.8,1,0
user_2,2025-11-16,2,16.5,7,0
user_2,2025-11-17,1,13.1,3,0
user_2,2025-11-18,1,18.3,6,0
user_2,2025-11-19,2,24.3,2,0
user_2,2025-11-20,1,22.5,7,0
user_2,2025-11-21,0,24.3,1,0
user_2,2025-11-22,1,16.4,4,0
user_2,2025-11-23,0,14.5,3,0
user_2,2025-11-24,0,17.6,1,0
user_2,2025-11-25,3,21.7,5,0
user_2,2025-11-26,0,23.3,5,0
user_2,2025-11-27,1,15.1,4,0
user_2,2025-11-28,0,8.7,2,0
user_2,2025-11-29,0,22,5,0
user_2,2025-11-30,0,4.8,7,0
user_2,2025-12-01,1,18.5,6,0
user_2,2025-12-02,0,14,2,0
user_2,2025-12-03,1,18.3,5,0
user_2,2025-12-04,1,8.4,6,1
user_2,2025-12-05,0,16.7,3,0
user_2,2025-12-06,1,17.2,5,0
user_2,2025-12-07,0,13.9,5,0
user_2,2025-12-08,0,16.9,5,0
user_2,2025-12-09,0,8.6,0,0
user_2,2025-12-10,1,9.9,3,1
user_2,2025-12-11,0,2.4,2,0
user_2,2025-12-12,1,8.6,0,0
user_2,2025-12-13,1,17.8,3,0
user_2,2025-12-14,0,8.6,2,0
user_2,2025-12-15,1,18.2,2,0
user_2,2025-12-16,0,5.3,3,0
user_2,2025-12-17,2,2.2,1,0
user_2,2025-12-18,0,14,5,0
user_2,2025-12-19,0,17.1,3,0
user_2,2025-12-20,0,17.5,3,0
user_2,2025-12-21,0,3.2,3,0
user_2,2025-12-22,1,18.5,3,0
user_2,2025-12-23,0,6.1,1,0
user_2,2025-12-24,0,4.6,3,0
user_2,2025-12-25,1,16.6,3,0
user_2,2025-12-26,1,13.1,3,0
user_2,2025-12-27,0,10.7,2,0
user_2,2025-12-28,0,12.1,0,0
user_2,2025-12-29,0,13.6,2,0
user_2,2025-12-30,0,9.1,5,0
user_3,2025-11-01,0,23.8,8,0
user_3,2025-11-02,2,26.9,3,0
user_3,2025-11-03,1,24,4,0
user_3,2025-11-04,0,27.2,7,0
user_3,2025-11-05,0,31.1,6,0
user_3,2025-11-06,3,22.5,5,0
user_3,2025-11-07,0,33.4,5,0
user_3,2025-11-08,0,20.3,7,0
user_3,2025-11-09,0,32.3,3,0
user_3,2025-11-10,2,29.9,5,0
user_3,2025-11-11,2,30,8,1
user_3,2025-11-12,2,23.1,5,0
user_3,2025-11-13,1,18.3,9,0
user_3,2025-11-14,0,24.9,6,0
user_3,2025-11-15,0,24.7,4,0
user_3,2025-11-16,1,29.4,2,0
user_3,2025-11-17,1,16.4,8,0
user_3,2025-11-18,0,25.2,3,1
user_3,2025-11-19,0,25.1,2,1
user_3,2025-11-20,1,18.5,5,1
user_3,2025-11-21,1,17,4,0
user_3,2025-11-22,1,18.4,3,1
user_3,2025-11-23,1,16.4,6,0
user_3,2025-11-24,0,19.9,2,0
user_3,2025-11-25,0,17.5,6,0
user_3,2025-11-26,1,24.9,1,0
user_3,2025-11-27,0,18.5,4,0
user_3,2025-11-28,1,19.5,6,0
user_3,2025-11-29,0,25.2,6,0
user_3,2025-11-30,0,15,4,0
user_3,2025-12-01,1,10.1,3,1
user_3,2025-12-02,2,13.2,4,0
user_3,2025-12-03,0,9.9,8,0
user_3,2025-12-04,0,23.7,2,0
user_3,2025-12-05,1,16.9,6,0
user_3,2025-12-06,0,20.3,4,0
user_3,2025-12-07,0,16.4,5,0
user_3,2025-12-08,0,16.8,0,0
user_3,2025-12-09,1,27.8,2,0
user_3,2025-12-10,1,16.8,6,0
user_3,2025-12-11,0,5.3,2,0
user_3,2025-12-12,0,13.3,4,0
user_3,2025-12-13,0,11.3,1,0
user_3,2025-12-14,0,20,2,0
user_3,2025-12-15,0,15.9,2,0
user_3,2025-12-16,0,7.8,2,1
user_3,2025-12-17,0,15.1,0,0
user_3,2025-12-18,1,5.3,4,0
user_3,2025-12-19,1,15.7,3,0
user_3,2025-12-20,0,18.5,1,0
user_3,2025-12-21,0,6.9,0,0
user_3,2025-12-22,0,10.3,2,0
user_3,2025-12-23,0,15.2,3,0
user_3,2025-12-24,0,12.8,4,0
user_3,2025-12-25,0,5.1,0,0
user_3,2025-12-26,1,9.3,3,0
user_3,2025-12-27,0,12.1,3,0
user_3,2025-12-28,1,9.9,2,0
user_3,2025-12-29,0,21.2,4,0
user_3,2025-12-30,0,12.7,2,0
user_4,2025-11-01,1,34.8,14,0
user_4,2025-11-02,0,44.3,13,0
user_4,2025-11-03,1,38,10,1
user_4,2025-11-04,1,42.5,10,0
user_4,2025-11-05,1,44.1,10,1
user_4,2025-11-06,1,37.9,9,0
user_4,2025-11-07,1,45.4,8,0
user_4,2025-11-08,0,37.9,7,1
user_4,2025-11-09,0,35.6,9,0
user_4,2025-11-10,1,40.8,5,0
user_4,2025-11-11,2,56.5,14,0
user_4,2025-11-12,1,59.2,13,0
user_4,2025-11-13,5,58.4,11,0
user_4,2025-11-14,3,43.5,9,0
user_4,2025-11-15,1,50.5,14,0
user_4,2025-11-16,0,45.4,10,0
user_4,2025-11-17,1,51.3,6,0
user_4,2025-11-18,1,47.4,11,0
user_4,2025-11-19,1,43.2,11,0
user_4,2025-11-20,0,53.1,9,0
user_4,2025-11-21,1,43.3,10,1
user_4,2025-11-22,2,44,7,0
user_4,2025-11-23,0,46.7,9,0
user_4,2025-11-24,1,46.8,7,0
user_4,2025-11-25,0,44.5,10,0
user_4,2025-11-26,0,27.5,5,0
user_4,2025-11-27,2,32.7,6,0
user_4,2025-11-28,1,24.6,5,0
user_4,2025-11-29,1,15,11,0
user_4,2025-11-30,2,31.9,8,0
user_4,2025-12-01,1,21.8,4,0
user_4,2025-12-02,0,13.6,5,1
user_4,2025-12-03,0,23.3,6,0
user_4,2025-12-04,1,19.2,6,0
user_4,2025-12-05,0,18.2,6,0
user_4,2025-12-06,1,27.3,6,0
user_4,2025-12-07,0,26.1,3,0
user_4,2025-12-08,3,26.6,4,0
